# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
bosaĵ	SUBST	N	N	N	KF	NLM	3	R	# PIV:bosaĵo
boselaf	SUBST	N	N	N	KF	NLM	3	R	# PIV:boselafo
bos	VERBO	N	X	N	KF	NLM	3	R	# PIV:bosi
bos	SUBST	N	N	N	KF	NLM	3	R	# PIV:boso
bostrik	SUBST	N	N	N	KF	NLM	3	R	# PIV:bostriko
bosveli	SUBST	N	N	N	KF	NLM	3	R	# PIV:bosvelio
botanikum	VERBO	N	X	N	KF	NLM	3	R	# PIV:botanikumi
botarg	SUBST	N	N	N	KF	NLM	3	R	# PIV:botargo
botrit	SUBST	N	N	N	KF	NLM	3	R	# PIV:botrito
bovedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:bovedoj
boviste	SUBST	N	N	N	KF	NLM	3	R	# PIV:bovisteo
bradikardi	SUBST	N	N	N	KF	NLM	3	R	# PIV:bradikardio
bradipedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:bradipedoj
bradipepsi	SUBST	N	N	N	KF	NLM	3	R	# PIV:bradipepsio
brahmo	SUBST	N	N	N	KF	NLM	3	R	# PIV:brahmoo
brakin	SUBST	N	N	N	KF	NLM	3	R	# PIV:brakino
brakiopodoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:brakiopodoj
brankiopodoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:brankiopodoj
brankiostom	SUBST	N	N	N	KF	NLM	3	R	# PIV:brankiostomo
branĉid	SUBST	N	N	N	KF	NLM	3	R	# PIV:branĉido
braĉ	SUBST	N	N	N	KF	NLM	3	R	# PIV:braĉo
braĥin	SUBST	N	N	N	KF	NLM	3	R	# PIV:braĥino
braĥiur	SUBST	N	N	N	KF	NLM	3	R	# PIV:braĥiuro
bregm	SUBST	N	N	N	KF	NLM	3	R	# PIV:bregmo
bremŝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:bremŝo
brevet	SUBST	N	N	N	KF	NLM	3	R	# PIV:breveto
brev	SUBST	N	N	N	KF	NLM	3	R	# PIV:brevo
brezaĵ	SUBST	N	N	N	KF	NLM	3	R	# PIV:brezaĵo
brez	VERBO	N	X	N	KF	NLM	3	R	# PIV:brezi
brezuj	SUBST	N	N	N	KF	NLM	3	R	# PIV:brezujo
breĉi	SUBST	N	N	N	KF	NLM	3	R	# PIV:breĉio
