# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
apercept	VERBO	N	X	N	KF	NLM	3	R	# PIV:apercepti
apercept	SUBST	N	N	N	KF	NLM	3	R	# PIV:apercepto
apetaloj	SUBST	N	N	N	KF	NLM	3	R	# PIV:apetaloj
apetenc	SUBST	N	N	N	KF	NLM	3	R	# PIV:apetenco
apiol	SUBST	N	N	N	KF	NLM	3	R	# PIV:apiolo
apios	SUBST	N	N	N	KF	NLM	3	R	# PIV:apioso
aplit	SUBST	N	N	N	KF	NLM	3	R	# PIV:aplito
apocinacoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:apocinacoj
apocin	SUBST	N	N	N	KF	NLM	3	R	# PIV:apocino
apodoformaj	SUBST	N	N	N	KF	NLM	3	R	# PIV:apodoformaj
apoloĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:apoloĝo
apomiks	SUBST	N	N	N	KF	NLM	3	R	# PIV:apomikso
aponeŭroz	SUBST	N	N	N	KF	NLM	3	R	# PIV:aponeŭrozo
aposiopez	SUBST	N	N	N	KF	NLM	3	R	# PIV:aposiopezo
apoteci	SUBST	N	N	N	KF	NLM	3	R	# PIV:apotecio
apretant	SUBST	N	N	N	KF	NLM	3	R	# PIV:apretanto
apretaĵ	SUBST	N	N	N	KF	NLM	3	R	# PIV:apretaĵo
aproksim	VERBO	N	X	N	KF	NLM	3	R	# PIV:aproksimi
arabidops	SUBST	N	N	N	KF	NLM	3	R	# PIV:arabidopso
arabinoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:arabinozo
arabis	SUBST	N	N	N	KF	NLM	3	R	# PIV:arabiso
aragonit	SUBST	N	N	N	KF	NLM	3	R	# PIV:aragonito
arahant	SUBST	N	N	N	KF	NLM	3	R	# PIV:arahanto
araknoidit	SUBST	N	N	N	KF	NLM	3	R	# PIV:araknoidito
arame	ADJ	N	N	N	KF	NLM	3	R	# PIV:aramea
araneoidoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:araneoidoj
arbariz	VERBO	N	X	N	KF	NLM	3	R	# PIV:arbarizi
arbologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:arbologio
ardeedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:ardeedoj
arekacoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:arekacoj
areknuks	SUBST	N	N	N	KF	NLM	3	R	# PIV:areknukso
arek	SUBST	N	N	N	KF	NLM	3	R	# PIV:areko
arenari	SUBST	N	N	N	KF	NLM	3	R	# PIV:arenario
areol	ADJ	N	N	N	KF	NLM	3	R	# PIV:areola
areol	SUBST	N	N	N	KF	NLM	3	R	# PIV:areolo
argani	SUBST	N	N	N	KF	NLM	3	R	# PIV:arganio
argemon	SUBST	N	N	N	KF	NLM	3	R	# PIV:argemono
argilpetr	SUBST	N	N	N	KF	NLM	3	R	# PIV:argilpetro
arginin	SUBST	N	N	N	KF	NLM	3	R	# PIV:arginino
argiop	SUBST	N	N	N	KF	NLM	3	R	# PIV:argiopo
argironet	SUBST	N	N	N	KF	NLM	3	R	# PIV:argironeto
arid	ADJ	N	N	N	KF	NLM	3	R	# PIV:arida
aril	SUBST	N	N	N	KF	NLM	3	R	# PIV:arilo
arin	SUBST	N	N	N	KF	NLM	3	R	# PIV:arino
aritenoid	SUBST	N	N	N	KF	NLM	3	R	# PIV:aritenoido
aritmetikil	SUBST	N	N	N	KF	NLM	3	R	# PIV:aritmetikilo
arka	ADJ	N	N	N	KF	NLM	3	R	# PIV:arkaa
arkaaĵ	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkaaĵo
arkaiĝ	VERBO	N	X	N	KF	NLM	3	R	# PIV:arkaiĝi
arkean	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkeano
arkegoni	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkegonio
arkeoloĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkeoloĝo
arkeozoik	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkeozoiko
arketip	SUBST	N	N	N	KF	NLM	3	R	# PIV:arketipo
arkimandrit	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkimandrito
arkipelaĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkipelaĝo
arkipteroj	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkipteroj
arkiteŭt	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkiteŭto
arkivolt	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkivolto
arkoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkozo
arkte	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkteo
arktostafil	SUBST	N	N	N	KF	NLM	3	R	# PIV:arktostafilo
arkus	SUBST	N	N	N	KF	NLM	3	R	# PIV:arkuso
armadel	SUBST	N	N	N	KF	NLM	3	R	# PIV:armadelo
armadilidi	SUBST	N	N	N	KF	NLM	3	R	# PIV:armadilidio
armilari	SUBST	N	N	N	KF	NLM	3	R	# PIV:armilario
armori	SUBST	N	N	N	KF	NLM	3	R	# PIV:armorio
aromat	ADJ	N	N	N	KF	NLM	3	R	# PIV:aromata
arondisment	SUBST	N	N	N	KF	NLM	3	R	# PIV:arondismento
arsacetin	SUBST	N	N	N	KF	NLM	3	R	# PIV:arsacetino
arsenid	SUBST	N	N	N	KF	NLM	3	R	# PIV:arsenido
arsin	SUBST	N	N	N	KF	NLM	3	R	# PIV:arsino
artefakt	SUBST	N	N	N	KF	NLM	3	R	# PIV:artefakto
arteriektomi	SUBST	N	N	N	KF	NLM	3	R	# PIV:arteriektomio
arteriit	SUBST	N	N	N	KF	NLM	3	R	# PIV:arteriito
artokarp	SUBST	N	N	N	KF	NLM	3	R	# PIV:artokarpo
artralgi	SUBST	N	N	N	KF	NLM	3	R	# PIV:artralgio
artr	SUBST	N	N	N	KF	NLM	3	R	# PIV:artro
artrologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:artrologio
arumacoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:arumacoj
aruman	SUBST	N	N	N	KF	NLM	3	R	# PIV:arumano
arund	SUBST	N	N	N	KF	NLM	3	R	# PIV:arundo
arunk	SUBST	N	N	N	KF	NLM	3	R	# PIV:arunko
arĝentum	SUBST	N	N	N	KF	NLM	3	R	# PIV:arĝentumo
arĥaj	ADJ	N	N	N	KF	NLM	3	R	# PIV:arĥaja
arĥipelaĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:arĥipelaĝo
asbestoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:asbestozo
ascensi	SUBST	N	N	N	KF	NLM	3	R	# PIV:ascensio
ascidioj	SUBST	N	N	N	KF	NLM	3	R	# PIV:ascidioj
ascit	SUBST	N	N	N	KF	NLM	3	R	# PIV:ascito
asdik	SUBST	N	N	N	KF	NLM	3	R	# PIV:asdiko
asembl	VERBO	N	X	N	KF	NLM	3	R	# PIV:asembli
asidu	ADJ	N	N	N	KF	NLM	3	R	# PIV:asidua
asindet	SUBST	N	N	N	KF	NLM	3	R	# PIV:asindeto
asiriologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:asiriologio
asistoli	SUBST	N	N	N	KF	NLM	3	R	# PIV:asistolio
askaridoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:askaridozo
asklepiadacoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:asklepiadacoj
ask	SUBST	N	N	N	KF	NLM	3	R	# PIV:asko
askomicetoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:askomicetoj
askomikotoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:askomikotoj
askorb	ADJ	N	N	N	KF	NLM	3	R	# PIV:askorba
askuj	SUBST	N	N	N	KF	NLM	3	R	# PIV:askujo
asonanĉ	SUBST	N	N	N	KF	NLM	3	R	# PIV:asonanĉo
asparagin	SUBST	N	N	N	KF	NLM	3	R	# PIV:asparagino
aspartat	SUBST	N	N	N	KF	NLM	3	R	# PIV:aspartato
aspart	SUBST	N	N	N	KF	NLM	3	R	# PIV:asparto
aspergiloz	SUBST	N	N	N	KF	NLM	3	R	# PIV:aspergilozo
asperĝ	VERBO	N	X	N	KF	NLM	3	R	# PIV:asperĝi
aspidistr	SUBST	N	N	N	KF	NLM	3	R	# PIV:aspidistro
aspik	SUBST	N	N	N	KF	NLM	3	R	# PIV:aspiko
aspirator	SUBST	N	N	N	KF	NLM	3	R	# PIV:aspiratoro
aspleni	SUBST	N	N	N	KF	NLM	3	R	# PIV:asplenio
astenosfer	SUBST	N	N	N	KF	NLM	3	R	# PIV:astenosfero
asteriedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:asteriedoj
asterioidoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:asterioidoj
asterolin	SUBST	N	N	N	KF	NLM	3	R	# PIV:asterolino
asterozooj	SUBST	N	N	N	KF	NLM	3	R	# PIV:asterozooj
astilb	SUBST	N	N	N	KF	NLM	3	R	# PIV:astilbo
astre	SUBST	N	N	N	KF	NLM	3	R	# PIV:astreo
ataman	SUBST	N	N	N	KF	NLM	3	R	# PIV:atamano
ataraksi	SUBST	N	N	N	KF	NLM	3	R	# PIV:ataraksio
atelier	SUBST	N	N	N	KF	NLM	3	R	# PIV:ateliero
atene	SUBST	N	N	N	KF	NLM	3	R	# PIV:ateneo
atenuil	SUBST	N	N	N	KF	NLM	3	R	# PIV:atenuilo
aterom	SUBST	N	N	N	KF	NLM	3	R	# PIV:ateromo
ateroskleroz	SUBST	N	N	N	KF	NLM	3	R	# PIV:aterosklerozo
atikit	SUBST	N	N	N	KF	NLM	3	R	# PIV:atikito
atlaŝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:atlaŝo
atman	SUBST	N	N	N	KF	NLM	3	R	# PIV:atmano
atm	SUBST	N	N	N	KF	NLM	3	R	# PIV:atmo
atmometr	SUBST	N	N	N	KF	NLM	3	R	# PIV:atmometro
atmosferografi	SUBST	N	N	N	KF	NLM	3	R	# PIV:atmosferografio
atmosferologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:atmosferologio
atonal	ADJ	N	N	N	KF	NLM	3	R	# PIV:atonala
atrabil	SUBST	N	N	N	KF	NLM	3	R	# PIV:atrabilo
atrezi	SUBST	N	N	N	KF	NLM	3	R	# PIV:atrezio
atribŭ	VERBO	N	X	N	KF	NLM	3	R	# PIV:atribŭi
atrici	SUBST	N	N	N	KF	NLM	3	R	# PIV:atricio
atropism	SUBST	N	N	N	KF	NLM	3	R	# PIV:atropismo
atrop	SUBST	N	N	N	KF	NLM	3	R	# PIV:atropo
avenŭ	SUBST	N	N	N	KF	NLM	3	R	# PIV:avenŭo
avero	SUBST	N	N	N	KF	NLM	3	R	# PIV:averoo
aviceni	SUBST	N	N	N	KF	NLM	3	R	# PIV:avicenio
avikulari	SUBST	N	N	N	KF	NLM	3	R	# PIV:avikulario
avinj	SUBST	N	N	N	KF	NLM	3	R	# PIV:avinjo
avi	SUBST	N	N	N	KF	NLM	3	R	# PIV:avio
avitaminoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:avitaminozo
az	ADJ	N	N	N	KF	NLM	3	R	# PIV:aza
azarol	SUBST	N	N	N	KF	NLM	3	R	# PIV:azarolo
azel	SUBST	N	N	N	KF	NLM	3	R	# PIV:azelo
azeotrop	SUBST	N	N	N	KF	NLM	3	R	# PIV:azeotropo
azid	SUBST	N	N	N	KF	NLM	3	R	# PIV:azido
