# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
frustraci	SUBST	N	N	N	KF	NLM	3	R	# PIV:frustracio
ftalat	SUBST	N	N	N	KF	NLM	3	R	# PIV:ftalato
ftalein	SUBST	N	N	N	KF	NLM	3	R	# PIV:ftaleino
ftalil	SUBST	N	N	N	KF	NLM	3	R	# PIV:ftalilo
ftal	SUBST	N	N	N	KF	NLM	3	R	# PIV:ftalo
ftir	SUBST	N	N	N	KF	NLM	3	R	# PIV:ftiro
fuel	SUBST	N	N	N	KF	NLM	3	R	# PIV:fuelo
fukoficoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:fukoficoj
fuleren	SUBST	N	N	N	KF	NLM	3	R	# PIV:fulereno
fulgor	SUBST	N	N	N	KF	NLM	3	R	# PIV:fulgoro
fulgoromorfoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:fulgoromorfoj
fulminad	SUBST	N	N	N	KF	NLM	3	R	# PIV:fulminado
fumarat	SUBST	N	N	N	KF	NLM	3	R	# PIV:fumarato
fumarol	SUBST	N	N	N	KF	NLM	3	R	# PIV:fumarolo
fumigaci	SUBST	N	N	N	KF	NLM	3	R	# PIV:fumigacio
fumiz	VERBO	N	X	N	KF	NLM	3	R	# PIV:fumizi
fumum	VERBO	N	X	N	KF	NLM	3	R	# PIV:fumumi
fumum	SUBST	N	N	N	KF	NLM	3	R	# PIV:fumumo
fungicid	SUBST	N	N	N	KF	NLM	3	R	# PIV:fungicido
fungologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:fungologio
fungoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:fungozo
fungus	ADJ	N	N	N	KF	NLM	3	R	# PIV:fungusa
fungusaĵ	SUBST	N	N	N	KF	NLM	3	R	# PIV:fungusaĵo
funikular	SUBST	N	N	N	KF	NLM	3	R	# PIV:funikularo
funkcial	ADJ	N	N	N	KF	NLM	3	R	# PIV:funkciala
funkcional	SUBST	N	N	N	KF	NLM	3	R	# PIV:funkcionalo
funk	SUBST	N	N	N	KF	NLM	3	R	# PIV:funko
fural	SUBST	N	N	N	KF	NLM	3	R	# PIV:furalo
furan	SUBST	N	N	N	KF	NLM	3	R	# PIV:furano
furgon	SUBST	N	N	N	KF	NLM	3	R	# PIV:furgono
furnitur	SUBST	N	N	N	KF	NLM	3	R	# PIV:furnituro
furunkoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:furunkozo
futurologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:futurologio
fuzel	SUBST	N	N	N	KF	NLM	3	R	# PIV:fuzelo
fuzulinedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:fuzulinedoj
fuŝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:fuŝ # OK
gabr	SUBST	N	N	N	KF	NLM	3	R	# PIV:gabro
gadedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:gadedoj
gadmes	SUBST	N	N	N	KF	NLM	3	R	# PIV:gadmeso
gadoformaj	SUBST	N	N	N	KF	NLM	3	R	# PIV:gadoformaj
gage	SUBST	N	N	N	KF	NLM	3	R	# PIV:gageo
galaktoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:galaktozo
galalit	SUBST	N	N	N	KF	NLM	3	R	# PIV:galalito
galang	SUBST	N	N	N	KF	NLM	3	R	# PIV:galango
galb	VERBO	N	X	N	KF	NLM	3	R	# PIV:galbi
galb	SUBST	N	N	N	KF	NLM	3	R	# PIV:galbo
galbuledoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:galbuledoj
galeas	SUBST	N	N	N	KF	NLM	3	R	# PIV:galeaso
galec	SUBST	N	N	N	KF	NLM	3	R	# PIV:galeco
galeg	ADJ	N	N	N	KF	NLM	3	R	# PIV:galega
gale	SUBST	N	N	N	KF	NLM	3	R	# PIV:galeo
galg	SUBST	N	N	N	KF	NLM	3	R	# PIV:galgo
galikan	ADJ	N	N	N	KF	NLM	3	R	# PIV:galikana
galikanism	SUBST	N	N	N	KF	NLM	3	R	# PIV:galikanismo
galin	SUBST	N	N	N	KF	NLM	3	R	# PIV:galino
