# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
alizuj	SUBST	N	N	N	KF	NLM	3	R	# PIV:alizujo
alk	SUBST	N	N	N	KF	NLM	3	R	# PIV:alk # OK
alkadien	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkadieno
alkad	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkado
alkaj	ADJ	N	N	N	KF	NLM	3	R	# PIV:alkaja
alkali	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkalio
alkalometri	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkalometrio
alkaloz	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkalozo
alkanal	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkanalo
alkan	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkano
alkanolat	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkanolato
alkanol	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkanolo
alkanon	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkanono
alkaraz	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkarazo
alkazab	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkazabo
alkazar	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkazaro
alkekeng	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkekengo
alken	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkeno
alkil	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkilo
alkoholat	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkoholato
alkoholatur	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkoholaturo
alkoholemi	SUBST	N	N	N	KF	NLM	3	R	# PIV:alkoholemio
almandin	SUBST	N	N	N	KF	NLM	3	R	# PIV:almandino
alme	SUBST	N	N	N	KF	NLM	3	R	# PIV:almeo
alm	SUBST	N	N	N	KF	NLM	3	R	# PIV:almo
alod	SUBST	N	N	N	KF	NLM	3	R	# PIV:alodo
alokazi	SUBST	N	N	N	KF	NLM	3	R	# PIV:alokazio
alokton	SUBST	N	N	N	KF	NLM	3	R	# PIV:aloktono
alomorf	SUBST	N	N	N	KF	NLM	3	R	# PIV:alomorfo
aloritmi	SUBST	N	N	N	KF	NLM	3	R	# PIV:aloritmio
alotrofi	SUBST	N	N	N	KF	NLM	3	R	# PIV:alotrofio
alotrop	ADJ	N	N	N	KF	NLM	3	R	# PIV:alotropa
alotropaĵ	SUBST	N	N	N	KF	NLM	3	R	# PIV:alotropaĵo
alotropec	SUBST	N	N	N	KF	NLM	3	R	# PIV:alotropeco
alpini	SUBST	N	N	N	KF	NLM	3	R	# PIV:alpinio
alpism	SUBST	N	N	N	KF	NLM	3	R	# PIV:alpismo
alt	SUBST	N	N	N	KF	NLM	3	R	# PIV:alt # OK
alteraci	VERBO	N	X	N	KF	NLM	3	R	# PIV:alteracii
alteraciiĝ	VERBO	N	X	N	KF	NLM	3	R	# PIV:alteraciiĝi
alteraci	SUBST	N	N	N	KF	NLM	3	R	# PIV:alteracio
alternec	SUBST	N	N	N	KF	NLM	3	R	# PIV:alterneco
altimetr	SUBST	N	N	N	KF	NLM	3	R	# PIV:altimetro
