# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
gospel	SUBST	N	N	N	KF	NLM	3	R	# PIV:gospelo
graben	SUBST	N	N	N	KF	NLM	3	R	# PIV:grabeno
gradaci	SUBST	N	N	N	KF	NLM	3	R	# PIV:gradacio
gradual	SUBST	N	N	N	KF	NLM	3	R	# PIV:gradualo
grajnovor	ADJ	N	N	N	KF	NLM	3	R	# PIV:grajnovora
gramin	SUBST	N	N	N	KF	NLM	3	R	# PIV:gramino
grand	SUBST	N	N	N	KF	NLM	3	R	# PIV:grand
granitoid	SUBST	N	N	N	KF	NLM	3	R	# PIV:granitoido
granulocit	SUBST	N	N	N	KF	NLM	3	R	# PIV:granulocito
granulom	SUBST	N	N	N	KF	NLM	3	R	# PIV:granulomo
granulomoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:granulomozo
graptolitoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:graptolitoj
grasum	VERBO	N	X	N	KF	NLM	3	R	# PIV:grasumi
grasum	SUBST	N	N	N	KF	NLM	3	R	# PIV:grasumo
gratiol	SUBST	N	N	N	KF	NLM	3	R	# PIV:gratiolo
graveti	SUBST	N	N	N	KF	NLM	3	R	# PIV:gravetio
gravimetri	SUBST	N	N	N	KF	NLM	3	R	# PIV:gravimetrio
graviolarb	SUBST	N	N	N	KF	NLM	3	R	# PIV:graviolarbo
graviolber	SUBST	N	N	N	KF	NLM	3	R	# PIV:graviolbero
graviol	SUBST	N	N	N	KF	NLM	3	R	# PIV:graviolo
gravioluj	SUBST	N	N	N	KF	NLM	3	R	# PIV:graviolujo
gravitometri	SUBST	N	N	N	KF	NLM	3	R	# PIV:gravitometrio
graviton	SUBST	N	N	N	KF	NLM	3	R	# PIV:gravitono
graŭl	VERBO	N	X	N	KF	NLM	3	R	# PIV:graŭli
graŭvak	SUBST	N	N	N	KF	NLM	3	R	# PIV:graŭvako
gregarinoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:gregarinoj
grejhund	SUBST	N	N	N	KF	NLM	3	R	# PIV:grejhundo
greĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:greĝo
griledoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:griledoj
grindeli	SUBST	N	N	N	KF	NLM	3	R	# PIV:grindelio
griot	SUBST	N	N	N	KF	NLM	3	R	# PIV:grioto
griv	SUBST	N	N	N	KF	NLM	3	R	# PIV:grivo
grizu	SUBST	N	N	N	KF	NLM	3	R	# PIV:grizuo
grond	VERBO	N	X	N	KF	NLM	3	R	# PIV:grondi
grop	SUBST	N	N	N	KF	NLM	3	R	# PIV:gropo
grosulariacoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:grosulariacoj
grosulari	SUBST	N	N	N	KF	NLM	3	R	# PIV:grosulario
groĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:groĝo
grumel	ADJ	N	N	N	KF	NLM	3	R	# PIV:grumela
grumel	SUBST	N	N	N	KF	NLM	3	R	# PIV:grumelo
grumiŝamber	SUBST	N	N	N	KF	NLM	3	R	# PIV:grumiŝambero
grumiŝam	SUBST	N	N	N	KF	NLM	3	R	# PIV:grumiŝamo
grumiŝamuj	SUBST	N	N	N	KF	NLM	3	R	# PIV:grumiŝamujo
grundologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:grundologio
guanin	SUBST	N	N	N	KF	NLM	3	R	# PIV:guanino
gugleg	SUBST	N	N	N	KF	NLM	3	R	# PIV:guglego
gugl	SUBST	N	N	N	KF	NLM	3	R	# PIV:guglo
gujdak	SUBST	N	N	N	KF	NLM	3	R	# PIV:gujdako
gumoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:gumozo
gun	SUBST	N	N	N	KF	NLM	3	R	# PIV:guno
guru	SUBST	N	N	N	KF	NLM	3	R	# PIV:guruo
gustosen	ADJ	N	N	N	KF	NLM	3	R	# PIV:gustosena
guta	SUBST	N	N	N	KF	NLM	3	R	# PIV:gutao
gutiferoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:gutiferoj
gutuj	SUBST	N	N	N	KF	NLM	3	R	# PIV:gutujo
guĝarat	SUBST	N	N	N	KF	NLM	3	R	# PIV:guĝarato
guĝ	VERBO	N	X	N	KF	NLM	3	R	# PIV:guĝi
guĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:guĝo
gvanak	SUBST	N	N	N	KF	NLM	3	R	# PIV:gvanako
gvaran	SUBST	N	N	N	KF	NLM	3	R	# PIV:gvarano
gvemul	SUBST	N	N	N	KF	NLM	3	R	# PIV:gvemulo
gveril	SUBST	N	N	N	KF	NLM	3	R	# PIV:gverilo
hadean	SUBST	N	N	N	KF	NLM	3	R	# PIV:hadeano
hagis	SUBST	N	N	N	KF	NLM	3	R	# PIV:hagiso
hajduk	SUBST	N	N	N	KF	NLM	3	R	# PIV:hajduko
