# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
halanĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:halanĝo
haliaet	SUBST	N	N	N	KF	NLM	3	R	# PIV:haliaeto
halit	SUBST	N	N	N	KF	NLM	3	R	# PIV:halito
halofit	SUBST	N	N	N	KF	NLM	3	R	# PIV:halofito
haloid	SUBST	N	N	N	KF	NLM	3	R	# PIV:haloido
halucinoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:halucinozo
halva	SUBST	N	N	N	KF	NLM	3	R	# PIV:halvao
hamadriad	SUBST	N	N	N	KF	NLM	3	R	# PIV:hamadriado
hamiltonian	SUBST	N	N	N	KF	NLM	3	R	# PIV:hamiltoniano
hanap	SUBST	N	N	N	KF	NLM	3	R	# PIV:hanapo
handspek	SUBST	N	N	N	KF	NLM	3	R	# PIV:handspeko
hans	ADJ	N	N	N	KF	NLM	3	R	# PIV:hansa
hansan	SUBST	N	N	N	KF	NLM	3	R	# PIV:hansano
haom	SUBST	N	N	N	KF	NLM	3	R	# PIV:haomo
haor	SUBST	N	N	N	KF	NLM	3	R	# PIV:haoro
hapaks	SUBST	N	N	N	KF	NLM	3	R	# PIV:hapakso
hapaledoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:hapaledoj
haplografi	SUBST	N	N	N	KF	NLM	3	R	# PIV:haplografio
haploid	ADJ	N	N	N	KF	NLM	3	R	# PIV:haploida
haris	SUBST	N	N	N	KF	NLM	3	R	# PIV:hariso
harmoniz	VERBO	N	X	N	KF	NLM	3	R	# PIV:harmonizi
harnes	SUBST	N	N	N	KF	NLM	3	R	# PIV:harneso
harpagofit	SUBST	N	N	N	KF	NLM	3	R	# PIV:harpagofito
haruspeks	SUBST	N	N	N	KF	NLM	3	R	# PIV:haruspekso
haspelaĵ	SUBST	N	N	N	KF	NLM	3	R	# PIV:haspelaĵo
haspel	VERBO	N	X	N	KF	NLM	3	R	# PIV:haspeli
haspel	SUBST	N	N	N	KF	NLM	3	R	# PIV:haspelo
hat	VERBO	N	X	N	KF	NLM	3	R	# PIV:hati
hav	SUBST	N	N	N	KF	NLM	3	R	# PIV:hav
haĉek	SUBST	N	N	N	KF	NLM	3	R	# PIV:haĉeko
haŝi	SUBST	N	N	N	KF	NLM	3	R	# PIV:haŝio
haŭser	SUBST	N	N	N	KF	NLM	3	R	# PIV:haŭsero
haŭsier	SUBST	N	N	N	KF	NLM	3	R	# PIV:haŭsiero
haŭs	SUBST	N	N	N	KF	NLM	3	R	# PIV:haŭso
haŭstori	SUBST	N	N	N	KF	NLM	3	R	# PIV:haŭstorio
hebefreni	SUBST	N	N	N	KF	NLM	3	R	# PIV:hebefrenio
hebet	ADJ	N	N	N	KF	NLM	3	R	# PIV:hebeta
hebetec	SUBST	N	N	N	KF	NLM	3	R	# PIV:hebeteco
hebreist	SUBST	N	N	N	KF	NLM	3	R	# PIV:hebreisto
hedizar	SUBST	N	N	N	KF	NLM	3	R	# PIV:hedizaro
hedonism	SUBST	N	N	N	KF	NLM	3	R	# PIV:hedonismo
hedonist	SUBST	N	N	N	KF	NLM	3	R	# PIV:hedonisto
heks	SUBST	N	N	N	KF	NLM	3	R	# PIV:heks
heks	ADJ	N	N	N	KF	NLM	3	R	# PIV:heksa
heksan	SUBST	N	N	N	KF	NLM	3	R	# PIV:heksano
hektik	ADJ	N	N	N	KF	NLM	3	R	# PIV:hektika
helicoid	SUBST	N	N	N	KF	NLM	3	R	# PIV:helicoido
helikoni	SUBST	N	N	N	KF	NLM	3	R	# PIV:helikonio
heli	SUBST	N	N	N	KF	NLM	3	R	# PIV:helio
heliocentr	ADJ	N	N	N	KF	NLM	3	R	# PIV:heliocentra
heliografi	SUBST	N	N	N	KF	NLM	3	R	# PIV:heliografio
heliogravur	SUBST	N	N	N	KF	NLM	3	R	# PIV:heliogravuro
helioskop	SUBST	N	N	N	KF	NLM	3	R	# PIV:helioskopo
helioterapi	SUBST	N	N	N	KF	NLM	3	R	# PIV:helioterapio
heliĉ	SUBST	N	N	N	KF	NLM	3	R	# PIV:heliĉo
helmintologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:helmintologio
helmintoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:helmintozo
helm	SUBST	N	N	N	KF	NLM	3	R	# PIV:helmo
helode	SUBST	N	N	N	KF	NLM	3	R	# PIV:helodeo
hemant	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemanto
hematemez	SUBST	N	N	N	KF	NLM	3	R	# PIV:hematemezo
hematin	SUBST	N	N	N	KF	NLM	3	R	# PIV:hematino
hemati	SUBST	N	N	N	KF	NLM	3	R	# PIV:hematio
hemat	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemato
hematoksilin	SUBST	N	N	N	KF	NLM	3	R	# PIV:hematoksilino
hematoksil	SUBST	N	N	N	KF	NLM	3	R	# PIV:hematoksilo
hematoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:hematozo
hematozooj	SUBST	N	N	N	KF	NLM	3	R	# PIV:hematozooj
hem	VERBO	N	X	N	KF	NLM	3	R	# PIV:hemi
hemianopsi	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemianopsio
hemiceluloz	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemicelulozo
hemimorfit	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemimorfito
hemiĥord	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemiĥordo
hemiĥorduloj	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemiĥorduloj
hem	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemo
hemoliz	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemolizo
hemo	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemoo
hemoptiz	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemoptizo
hemostaz	ADJ	N	N	N	KF	NLM	3	R	# PIV:hemostaza
hemostaz	SUBST	N	N	N	KF	NLM	3	R	# PIV:hemostazo
hendiad	SUBST	N	N	N	KF	NLM	3	R	# PIV:hendiado
henikoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:henikoz
heparin	SUBST	N	N	N	KF	NLM	3	R	# PIV:heparino
hept	SUBST	N	N	N	KF	NLM	3	R	# PIV:hept
hept	ADJ	N	N	N	KF	NLM	3	R	# PIV:hepta
heptagon	SUBST	N	N	N	KF	NLM	3	R	# PIV:heptagono
heptan	SUBST	N	N	N	KF	NLM	3	R	# PIV:heptano
herbicid	SUBST	N	N	N	KF	NLM	3	R	# PIV:herbicido
herbovor	ADJ	N	N	N	KF	NLM	3	R	# PIV:herbovora
hercini	ADJ	N	N	N	KF	NLM	3	R	# PIV:hercinia
herd	SUBST	N	N	N	KF	NLM	3	R	# PIV:herdo
hermeneŭtik	SUBST	N	N	N	KF	NLM	3	R	# PIV:hermeneŭtiko
hermit	ADJ	N	N	N	KF	NLM	3	R	# PIV:hermita
herniari	SUBST	N	N	N	KF	NLM	3	R	# PIV:herniario
heroid	SUBST	N	N	N	KF	NLM	3	R	# PIV:heroido
herpest	SUBST	N	N	N	KF	NLM	3	R	# PIV:herpesto
hers	SUBST	N	N	N	KF	NLM	3	R	# PIV:herso
hesperid	SUBST	N	N	N	KF	NLM	3	R	# PIV:hesperido
hesperornit	SUBST	N	N	N	KF	NLM	3	R	# PIV:hesperornito
hesperornitoformaj	SUBST	N	N	N	KF	NLM	3	R	# PIV:hesperornitoformaj
heter	SUBST	N	N	N	KF	NLM	3	R	# PIV:hetero
heterogamet	ADJ	N	N	N	KF	NLM	3	R	# PIV:heterogameta
heteronomi	SUBST	N	N	N	KF	NLM	3	R	# PIV:heteronomio
heteropteroj	SUBST	N	N	N	KF	NLM	3	R	# PIV:heteropteroj
heterosom	SUBST	N	N	N	KF	NLM	3	R	# PIV:heterosomo
heterotrof	ADJ	N	N	N	KF	NLM	3	R	# PIV:heterotrofa
heterozid	SUBST	N	N	N	KF	NLM	3	R	# PIV:heterozido
heterozigot	SUBST	N	N	N	KF	NLM	3	R	# PIV:heterozigoto
heve	SUBST	N	N	N	KF	NLM	3	R	# PIV:heveo
heŭristik	SUBST	N	N	N	KF	NLM	3	R	# PIV:heŭristiko
hibaĉ	SUBST	N	N	N	KF	NLM	3	R	# PIV:hibaĉo
hidalg	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidalgo
hidatid	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidatido
hidatidoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidatidozo
hidn	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidno
hidrant	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidranto
hidrastid	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrastido
hidrast	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrasto
hidrat	VERBO	N	X	N	KF	NLM	3	R	# PIV:hidrati
hidratiĝ	VERBO	N	X	N	KF	NLM	3	R	# PIV:hidratiĝi
hidrazin	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrazino
hidrazon	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrazono
hidrid	VERBO	N	X	N	KF	NLM	3	R	# PIV:hidridi
hidrid	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrido
hidrofil	ADJ	N	N	N	KF	NLM	3	R	# PIV:hidrofila
hidrofob	ADJ	N	N	N	KF	NLM	3	R	# PIV:hidrofoba
hidrofon	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrofono
hidrografi	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrografio
hidroidoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidroidoj
hidrokarbonid	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrokarbonido
hidrokarid	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrokarido
hidrokarit	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrokarito
hidroker	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrokero
hidrokotil	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidrokotilo
hidroksil	SUBST	N	N	N	KF	NLM	3	R	# PIV:hidroksilo
