anoreksi	SUBST	MALSANO	N	N	KF	NLM	4	R	# OK # PIV:anoreksio
anopsi	SUBST	MALSANO	N	N	KF	NLM	4	R	# OK # PIV:anopsio
anortit	SUBST	MINERALO	N	N	KF	NLM	4	R	# OK # PIV:anortito
anosmi	SUBST	MALSANO	N	N	KF	NLM	4	R	# OK # PIV:anosmio
antocian	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# OK # PIV:antociano
antonomazi	SUBST	LINGVO	N	N	KF	NLM	4	R	# OK # PIV:antonomazio
antozooj	SUBST	ANIMALO	N	N	KF	NLM	4	R	# OK # PIV:antozooj
antracen	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# OK # PIV:antraceno
antrakinon	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# OK # PIV:antrakinono
antrakoz	SUBST	MALSANO	N	N	KF	NLM	4	R	# OK # PIV:antrakozo
antrisk	SUBST	PLANTO	N	N	KF	NLM	4	R	# OK # PIV:antrisko
antr	SUBST	LOKO	N	N	KF	NLM	4	R	# OK # PIV:antro
anturi	SUBST	PLANTO	N	N	KF	NLM	4	R	# OK # PIV:anturio
anuri	SUBST	MALSANO	N	N	KF	NLM	4	R	# OK # PIV:anurio
anuroj	SUBST	ANIMALO	N	N	KF	NLM	4	R	# OK # PIV:anuroj
aortit	SUBST	MALSANO	N	N	KF	NLM	4	R	# OK # PIV:aortito
aot	SUBST	ANIMALO	N	N	KF	NLM	4	R	# OK # PIV:aoto
apatosaŭr	SUBST	ANIMALO	N	N	KF	NLM	4	R	# OK # PIV:apatosaŭro
apeks	SUBST	GEOMETRIO	N	N	KF	NLM	4	R	# OK # PIV:apekso
apendicektomi	SUBST	KURACARTO	N	N	KF	NLM	4	R	# OK # PIV:apendicektomio
apendikularioj	SUBST	ANIMALO	N	N	KF	NLM	4	R	# OK # PIV:apendikularioj
apepsi	SUBST	MALSANO	N	N	KF	NLM	4	R	# OK # PIV:apepsio
