# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
alambik	SUBST	N	N	N	KF	NLM	3	R	# PIV:alambiko
aland	SUBST	N	N	N	KF	NLM	3	R	# PIV:alando
alanin	SUBST	N	N	N	KF	NLM	3	R	# PIV:alanino
alantoid	SUBST	N	N	N	KF	NLM	3	R	# PIV:alantoido
alatern	SUBST	N	N	N	KF	NLM	3	R	# PIV:alaterno
alaŭdedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:alaŭdedoj
albed	SUBST	N	N	N	KF	NLM	3	R	# PIV:albedo
albigens	SUBST	N	N	N	KF	NLM	3	R	# PIV:albigenso
albit	SUBST	N	N	N	KF	NLM	3	R	# PIV:albito
albizi	SUBST	N	N	N	KF	NLM	3	R	# PIV:albizio
albugineit	SUBST	N	N	N	KF	NLM	3	R	# PIV:albugineito
albugine	SUBST	N	N	N	KF	NLM	3	R	# PIV:albugineo
albug	SUBST	N	N	N	KF	NLM	3	R	# PIV:albugo
albumoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:albumozo
alcededoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:alcededoj
alcelaf	SUBST	N	N	N	KF	NLM	3	R	# PIV:alcelafo
alcioni	SUBST	N	N	N	KF	NLM	3	R	# PIV:alcionio
alcioniuloj	SUBST	N	N	N	KF	NLM	3	R	# PIV:alcioniuloj
aldol	SUBST	N	N	N	KF	NLM	3	R	# PIV:aldolo
aldosteron	SUBST	N	N	N	KF	NLM	3	R	# PIV:aldosterono
aleator	ADJ	N	N	N	KF	NLM	3	R	# PIV:aleatora
aleksin	SUBST	N	N	N	KF	NLM	3	R	# PIV:aleksino
aleksi	SUBST	N	N	N	KF	NLM	3	R	# PIV:aleksio
alektor	SUBST	N	N	N	KF	NLM	3	R	# PIV:alektoro
alel	SUBST	N	N	N	KF	NLM	3	R	# PIV:alelo
aler	SUBST	N	N	N	KF	NLM	3	R	# PIV:alero
aleŭrit	SUBST	N	N	N	KF	NLM	3	R	# PIV:aleŭrito
aleŭrodedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:aleŭrodedoj
aleŭrod	SUBST	N	N	N	KF	NLM	3	R	# PIV:aleŭrodo
algid	ADJ	N	N	N	KF	NLM	3	R	# PIV:algida
algidec	SUBST	N	N	N	KF	NLM	3	R	# PIV:algideco
alginat	SUBST	N	N	N	KF	NLM	3	R	# PIV:alginato
algin	SUBST	N	N	N	KF	NLM	3	R	# PIV:algino
algi	SUBST	N	N	N	KF	NLM	3	R	# PIV:algio
algiologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:algiologio
algiolog	SUBST	N	N	N	KF	NLM	3	R	# PIV:algiologo
algologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:algologio
algolog	SUBST	N	N	N	KF	NLM	3	R	# PIV:algologo
algonki	SUBST	N	N	N	KF	NLM	3	R	# PIV:algonkio
algvazil	SUBST	N	N	N	KF	NLM	3	R	# PIV:algvazilo
aliari	SUBST	N	N	N	KF	NLM	3	R	# PIV:aliario
alidad	SUBST	N	N	N	KF	NLM	3	R	# PIV:alidado
aliel	SUBST	N	N	N	KF	NLM	3	R	# PIV:aliel
alien	ADJ	N	N	N	KF	NLM	3	R	# PIV:aliena
alienec	SUBST	N	N	N	KF	NLM	3	R	# PIV:alieneco
alien	VERBO	N	X	N	KF	NLM	3	R	# PIV:alieni
alienist	SUBST	N	N	N	KF	NLM	3	R	# PIV:alienisto
alienul	SUBST	N	N	N	KF	NLM	3	R	# PIV:alienulo
alies	SUBST	N	N	N	KF	NLM	3	R	# PIV:alies
alifat	ADJ	N	N	N	KF	NLM	3	R	# PIV:alifata
alil	SUBST	N	N	N	KF	NLM	3	R	# PIV:alilo
alismacoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:alismacoj
alism	SUBST	N	N	N	KF	NLM	3	R	# PIV:alismo
alit	SUBST	N	N	N	KF	NLM	3	R	# PIV:alito
alium	SUBST	N	N	N	KF	NLM	3	R	# PIV:aliumo
alizarin	SUBST	N	N	N	KF	NLM	3	R	# PIV:alizarino
alize	SUBST	N	N	N	KF	NLM	3	R	# PIV:alizeo
