# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
baktericid	ADJ	N	N	N	KF	NLM	3	R	# PIV:baktericida
baktericid	SUBST	N	N	N	KF	NLM	3	R	# PIV:baktericido
bakteriofaĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:bakteriofaĝo
bakŝiŝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:bakŝiŝo
balafon	SUBST	N	N	N	KF	NLM	3	R	# PIV:balafono
balanit	SUBST	N	N	N	KF	NLM	3	R	# PIV:balanito
balantidi	SUBST	N	N	N	KF	NLM	3	R	# PIV:balantidio
balat	SUBST	N	N	N	KF	NLM	3	R	# PIV:balato
balenedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:balenedoj
balenopteredoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:balenopteredoj
balenopter	SUBST	N	N	N	KF	NLM	3	R	# PIV:balenoptero
balote	SUBST	N	N	N	KF	NLM	3	R	# PIV:baloteo
balzaminacoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:balzaminacoj
bambuz	SUBST	N	N	N	KF	NLM	3	R	# PIV:bambuzo
banderil	SUBST	N	N	N	KF	NLM	3	R	# PIV:banderilo
bandolier	SUBST	N	N	N	KF	NLM	3	R	# PIV:bandoliero
bangificoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:bangificoj
bangi	SUBST	N	N	N	KF	NLM	3	R	# PIV:bangio
bangioficoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:bangioficoj
bantu	ADJ	N	N	N	KF	NLM	3	R	# PIV:bantua
banusej	SUBST	N	N	N	KF	NLM	3	R	# PIV:banusejo
banusland	SUBST	N	N	N	KF	NLM	3	R	# PIV:banuslando
banus	SUBST	N	N	N	KF	NLM	3	R	# PIV:banuso
baptanin	SUBST	N	N	N	KF	NLM	3	R	# PIV:baptanino
baptisteri	SUBST	N	N	N	KF	NLM	3	R	# PIV:baptisterio
baptuj	SUBST	N	N	N	KF	NLM	3	R	# PIV:baptujo
barbadenber	SUBST	N	N	N	KF	NLM	3	R	# PIV:barbadenbero
