display,lookup,status,notes
fokedoj,fokedoj,drafted,draft_vortaro_additions_20251012_0214.tsv
fokusdiseco,fokusdiseco,drafted,draft_vortaro_additions_20251012_0214.tsv
folianto,folianto,drafted,draft_vortaro_additions_20251012_0214.tsv
foliklito,foliklito,drafted,draft_vortaro_additions_20251012_0214.tsv
folikulino,folikulino,drafted,draft_vortaro_additions_20251012_0214.tsv
folioto,folioto,drafted,draft_vortaro_additions_20251012_0214.tsv
folulo,folulo,drafted,draft_vortaro_additions_20251012_0214.tsv
fonduo,fonduo,drafted,draft_vortaro_additions_20251012_0214.tsv
fonetisto,fonetisto,drafted,draft_vortaro_additions_20251012_0214.tsv
fonio,fonio,drafted,draft_vortaro_additions_20251012_0214.tsv
fonoforo,fonoforo,drafted,draft_vortaro_additions_20251012_0214.tsv
fonolito,fonolito,drafted,draft_vortaro_additions_20251012_0214.tsv
fonometrio,fonometrio,drafted,draft_vortaro_additions_20251012_0214.tsv
foradendro,foradendro,drafted,draft_vortaro_additions_20251012_0214.tsv
foraminiferoj,foraminiferoj,drafted,draft_vortaro_additions_20251012_0214.tsv
formiato,formiato,drafted,draft_vortaro_additions_20251012_0214.tsv
formiilo,formiilo,drafted,draft_vortaro_additions_20251012_0214.tsv
formio,formio,drafted,draft_vortaro_additions_20251012_0214.tsv
foruo,foruo,drafted,draft_vortaro_additions_20251012_0214.tsv
fosfatemio,fosfatemio,drafted,draft_vortaro_additions_20251012_0214.tsv
fosfatido,fosfatido,drafted,draft_vortaro_additions_20251012_0214.tsv
fosfeno,fosfeno,drafted,draft_vortaro_additions_20251012_0214.tsv
fosfido,fosfido,drafted,draft_vortaro_additions_20251012_0214.tsv
fosfino,fosfino,drafted,draft_vortaro_additions_20251012_0214.tsv
fosfonio,fosfonio,drafted,draft_vortaro_additions_20251012_0214.tsv
fosfoo,fosfoo,drafted,draft_vortaro_additions_20251012_0214.tsv
fosforilado,fosforilado,drafted,draft_vortaro_additions_20251012_0214.tsv
fosforili,fosforili,drafted,draft_vortaro_additions_20251012_0214.tsv
fosforilo,fosforilo,drafted,draft_vortaro_additions_20251012_0214.tsv
fosgeno,fosgeno,drafted,draft_vortaro_additions_20251012_0214.tsv
fotogrametrio,fotogrametrio,drafted,draft_vortaro_additions_20251012_0214.tsv
foveeto,foveeto,drafted,draft_vortaro_additions_20251012_0214.tsv
foveo,foveo,drafted,draft_vortaro_additions_20251012_0214.tsv
fragario,fragario,drafted,draft_vortaro_additions_20251012_0214.tsv
fraksinelo,fraksinelo,drafted,draft_vortaro_additions_20251012_0214.tsv
frakta,frakta,drafted,draft_vortaro_additions_20251012_0214.tsv
frakto,frakto,drafted,draft_vortaro_additions_20251012_0214.tsv
frameo,frameo,drafted,draft_vortaro_additions_20251012_0214.tsv
franciskanismo,franciskanismo,drafted,draft_vortaro_additions_20251012_0214.tsv
frandzi,frandzi,drafted,draft_vortaro_additions_20251012_0214.tsv
franĉi,franĉi,drafted,draft_vortaro_additions_20251012_0214.tsv
franĉizo,franĉizo,drafted,draft_vortaro_additions_20251012_0214.tsv
franĝipano,franĝipano,drafted,draft_vortaro_additions_20251012_0214.tsv
frazeologiaĵo,frazeologiaĵo,drafted,draft_vortaro_additions_20251012_0214.tsv
frazeologio,frazeologio,drafted,draft_vortaro_additions_20251012_0214.tsv
frazumi,frazumi,drafted,draft_vortaro_additions_20251012_0214.tsv
frenulo,frenulo,drafted,draft_vortaro_additions_20251012_0214.tsv
fri,fri,drafted,draft_vortaro_additions_20251012_0214.tsv
fridigado,fridigado,drafted,draft_vortaro_additions_20251012_0214.tsv
fridigilo,fridigilo,drafted,draft_vortaro_additions_20251012_0214.tsv
fridunuo,fridunuo,drafted,draft_vortaro_additions_20251012_0214.tsv
friga,friga,drafted,draft_vortaro_additions_20251012_0214.tsv
friganedoj,friganedoj,drafted,draft_vortaro_additions_20251012_0214.tsv
frigano,frigano,drafted,draft_vortaro_additions_20251012_0214.tsv
frigida,frigida,drafted,draft_vortaro_additions_20251012_0214.tsv
frigideco,frigideco,drafted,draft_vortaro_additions_20251012_0214.tsv
frigo,frigo,drafted,draft_vortaro_additions_20251012_0214.tsv
frigorio,frigorio,drafted,draft_vortaro_additions_20251012_0214.tsv
frikando,frikando,drafted,draft_vortaro_additions_20251012_0214.tsv
fringedoj,fringedoj,drafted,draft_vortaro_additions_20251012_0214.tsv
friska,friska,drafted,draft_vortaro_additions_20251012_0214.tsv
friŝo,friŝo,drafted,draft_vortaro_additions_20251012_0214.tsv
frogalo,frogalo,drafted,draft_vortaro_additions_20251012_0214.tsv
frogo,frogo,drafted,draft_vortaro_additions_20251012_0214.tsv
froko,froko,drafted,draft_vortaro_additions_20251012_0214.tsv
frokulo,frokulo,drafted,draft_vortaro_additions_20251012_0214.tsv
frontala,frontala,drafted,draft_vortaro_additions_20251012_0214.tsv
fruktologio,fruktologio,drafted,draft_vortaro_additions_20251012_0214.tsv
fruktozo,fruktozo,drafted,draft_vortaro_additions_20251012_0214.tsv
frustracio,frustracio,drafted,draft_vortaro_additions_20251012_0225.tsv
ftalato,ftalato,drafted,draft_vortaro_additions_20251012_0225.tsv
ftaleino,ftaleino,drafted,draft_vortaro_additions_20251012_0225.tsv
ftalilo,ftalilo,drafted,draft_vortaro_additions_20251012_0225.tsv
ftalo,ftalo,drafted,draft_vortaro_additions_20251012_0225.tsv
ftiro,ftiro,drafted,draft_vortaro_additions_20251012_0225.tsv
fuelo,fuelo,drafted,draft_vortaro_additions_20251012_0225.tsv
fukoficoj,fukoficoj,added,imported:reviewed_import_mixed_13.tsv
fulereno,fulereno,drafted,draft_vortaro_additions_20251012_0225.tsv
fulgoro,fulgoro,drafted,draft_vortaro_additions_20251012_0225.tsv
fulgoromorfoj,fulgoromorfoj,added,imported:reviewed_import_mixed_13.tsv
fulminado,fulminado,drafted,draft_vortaro_additions_20251012_0225.tsv
fumarato,fumarato,drafted,draft_vortaro_additions_20251012_0225.tsv
fumarolo,fumarolo,drafted,draft_vortaro_additions_20251012_0225.tsv
fumigacio,fumigacio,drafted,draft_vortaro_additions_20251012_0225.tsv
fumizi,fumizi,drafted,draft_vortaro_additions_20251012_0225.tsv
fumumi,fumumi,drafted,draft_vortaro_additions_20251012_0225.tsv
fumumo,fumumo,drafted,draft_vortaro_additions_20251012_0225.tsv
fungicido,fungicido,drafted,draft_vortaro_additions_20251012_0225.tsv
fungologio,fungologio,drafted,draft_vortaro_additions_20251012_0225.tsv
fungozo,fungozo,drafted,draft_vortaro_additions_20251012_0225.tsv
fungusa,fungusa,drafted,draft_vortaro_additions_20251012_0225.tsv
fungusaĵo,fungusaĵo,drafted,draft_vortaro_additions_20251012_0225.tsv
funikularo,funikularo,drafted,draft_vortaro_additions_20251012_0225.tsv
funkciala,funkciala,drafted,draft_vortaro_additions_20251012_0225.tsv
funkcionalo,funkcionalo,drafted,draft_vortaro_additions_20251012_0225.tsv
funko,funko,drafted,draft_vortaro_additions_20251012_0225.tsv
furalo,furalo,drafted,draft_vortaro_additions_20251012_0225.tsv
furano,furano,drafted,draft_vortaro_additions_20251012_0225.tsv
furgono,furgono,drafted,draft_vortaro_additions_20251012_0225.tsv
furnituro,furnituro,drafted,draft_vortaro_additions_20251012_0225.tsv
furunkozo,furunkozo,drafted,draft_vortaro_additions_20251012_0225.tsv
futurologio,futurologio,drafted,draft_vortaro_additions_20251012_0225.tsv
fuzelo,fuzelo,drafted,draft_vortaro_additions_20251012_0225.tsv
fuzulinedoj,fuzulinedoj,drafted,draft_vortaro_additions_20251012_0225.tsv
fuŝ,fuŝ,drafted,draft_vortaro_additions_20251012_0225.tsv
gabro,gabro,drafted,draft_vortaro_additions_20251012_0225.tsv
gadedoj,gadedoj,drafted,draft_vortaro_additions_20251012_0225.tsv
gadmeso,gadmeso,drafted,draft_vortaro_additions_20251012_0225.tsv
gadoformaj,gadoformaj,drafted,draft_vortaro_additions_20251012_0225.tsv
gageo,gageo,drafted,draft_vortaro_additions_20251012_0225.tsv
galaktozo,galaktozo,drafted,draft_vortaro_additions_20251012_0225.tsv
galalito,galalito,drafted,draft_vortaro_additions_20251012_0225.tsv
galango,galango,drafted,draft_vortaro_additions_20251012_0225.tsv
galbi,galbi,drafted,draft_vortaro_additions_20251012_0225.tsv
galbo,galbo,drafted,draft_vortaro_additions_20251012_0225.tsv
galbuledoj,galbuledoj,drafted,draft_vortaro_additions_20251012_0225.tsv
galeaso,galeaso,drafted,draft_vortaro_additions_20251012_0225.tsv
galeco,galeco,drafted,draft_vortaro_additions_20251012_0225.tsv
galega,galega,drafted,draft_vortaro_additions_20251012_0225.tsv
galeo,galeo,drafted,draft_vortaro_additions_20251012_0225.tsv
galgo,galgo,drafted,draft_vortaro_additions_20251012_0225.tsv
galikana,galikana,drafted,draft_vortaro_additions_20251012_0225.tsv
galikanismo,galikanismo,drafted,draft_vortaro_additions_20251012_0225.tsv
galino,galino,drafted,draft_vortaro_additions_20251012_0225.tsv
galinoformaj,galinoformaj,drafted,draft_vortaro_additions_20251012_0225.tsv
galioto,galioto,drafted,draft_vortaro_additions_20251012_0225.tsv
galuso,galuso,drafted,draft_vortaro_additions_20251012_0225.tsv
galvanizado,galvanizado,drafted,draft_vortaro_additions_20251012_0225.tsv
gamaro,gamaro,drafted,draft_vortaro_additions_20251012_0225.tsv
gametofito,gametofito,drafted,draft_vortaro_additions_20251012_0225.tsv
gamopetaloj,gamopetaloj,drafted,draft_vortaro_additions_20251012_0225.tsv
gangliito,gangliito,drafted,draft_vortaro_additions_20251012_0225.tsv
gangujo,gangujo,drafted,draft_vortaro_additions_20251012_0225.tsv
gantro,gantro,drafted,draft_vortaro_additions_20251012_0225.tsv
garcinio,garcinio,drafted,draft_vortaro_additions_20251012_0225.tsv
gareno,gareno,drafted,draft_vortaro_additions_20251012_0225.tsv
garigo,garigo,drafted,draft_vortaro_additions_20251012_0225.tsv
gario,gario,drafted,draft_vortaro_additions_20251012_0225.tsv
gasogeno,gasogeno,drafted,draft_vortaro_additions_20251012_0225.tsv
gasojlo,gasojlo,drafted,draft_vortaro_additions_20251012_0225.tsv
gasteromicetoj,gasteromicetoj,drafted,draft_vortaro_additions_20251012_0225.tsv
gastralgio,gastralgio,drafted,draft_vortaro_additions_20251012_0225.tsv
gastrektomio,gastrektomio,drafted,draft_vortaro_additions_20251012_0225.tsv
gastrino,gastrino,drafted,draft_vortaro_additions_20251012_0225.tsv
gastrofilo,gastrofilo,drafted,draft_vortaro_additions_20251012_0225.tsv
gastroknemio,gastroknemio,drafted,draft_vortaro_additions_20251012_0225.tsv
gasumi,gasumi,drafted,draft_vortaro_additions_20251012_0225.tsv
gatjo,gatjo,drafted,draft_vortaro_additions_20251012_0225.tsv
gaviformaj,gaviformaj,drafted,draft_vortaro_additions_20251012_0225.tsv
gavioformaj,gavioformaj,drafted,draft_vortaro_additions_20251012_0225.tsv
gazalo,gazalo,drafted,draft_vortaro_additions_20251012_0225.tsv
gaĝo,gaĝo,drafted,draft_vortaro_additions_20251012_0225.tsv
geastro,geastro,drafted,draft_vortaro_additions_20251012_0225.tsv
gefireoj,gefireoj,drafted,draft_vortaro_additions_20251012_0225.tsv
gelo,gelo,drafted,draft_vortaro_additions_20251012_0225.tsv
gemuta,gemuta,drafted,draft_vortaro_additions_20251012_0225.tsv
genealoĝo,genealoĝo,drafted,draft_vortaro_additions_20251012_0225.tsv
geocentra,geocentra,drafted,draft_vortaro_additions_20251012_0225.tsv
geodinamiko,geodinamiko,drafted,draft_vortaro_additions_20251012_0225.tsv
geofagio,geofagio,drafted,draft_vortaro_additions_20251012_0225.tsv
geoido,geoido,drafted,draft_vortaro_additions_20251012_0225.tsv
geokemio,geokemio,drafted,draft_vortaro_additions_20251012_0225.tsv
geokronologio,geokronologio,drafted,draft_vortaro_additions_20251012_0225.tsv
geoloĝo,geoloĝo,drafted,draft_vortaro_additions_20251012_0225.tsv
geomancio,geomancio,drafted,draft_vortaro_additions_20251012_0225.tsv
geomorfologio,geomorfologio,drafted,draft_vortaro_additions_20251012_0225.tsv
geopolitiko,geopolitiko,drafted,draft_vortaro_additions_20251012_0225.tsv
georgiko,georgiko,drafted,draft_vortaro_additions_20251012_0225.tsv
geosfero,geosfero,drafted,draft_vortaro_additions_20251012_0225.tsv
geosinklinalo,geosinklinalo,drafted,draft_vortaro_additions_20251012_0225.tsv
geotekniko,geotekniko,drafted,draft_vortaro_additions_20251012_0225.tsv
geoterma,geoterma,drafted,draft_vortaro_additions_20251012_0225.tsv
geotermiko,geotermiko,drafted,draft_vortaro_additions_20251012_0225.tsv
geotermismo,geotermismo,drafted,draft_vortaro_additions_20251012_0225.tsv
geotermo,geotermo,drafted,draft_vortaro_additions_20251012_0225.tsv
geotropismo,geotropismo,drafted,draft_vortaro_additions_20251012_0225.tsv
geotrupedoj,geotrupedoj,drafted,draft_vortaro_additions_20251012_0225.tsv
geranialo,geranialo,drafted,draft_vortaro_additions_20251012_0225.tsv
geraniolo,geraniolo,drafted,draft_vortaro_additions_20251012_0225.tsv
geraĵo,geraĵo,drafted,draft_vortaro_additions_20251012_0225.tsv
geri,geri,drafted,draft_vortaro_additions_20251012_0225.tsv
geriatrio,geriatrio,drafted,draft_vortaro_additions_20251012_0225.tsv
geriatro,geriatro,drafted,draft_vortaro_additions_20251012_0225.tsv
geriso,geriso,drafted,draft_vortaro_additions_20251012_0225.tsv
germaniato,germaniato,drafted,draft_vortaro_additions_20251012_0225.tsv
germanisto,germanisto,drafted,draft_vortaro_additions_20251012_0225.tsv
gero,gero,drafted,draft_vortaro_additions_20251012_0225.tsv
gesnerio,gesnerio,drafted,draft_vortaro_additions_20251012_0225.tsv
ghetto,ghetto,drafted,draft_vortaro_additions_20251012_0225.tsv
giardio,giardio,drafted,draft_vortaro_additions_20251012_0225.tsv
giardiozo,giardiozo,drafted,draft_vortaro_additions_20251012_0225.tsv
giberelino,giberelino,drafted,draft_vortaro_additions_20251012_0225.tsv
gigo,gigo,drafted,draft_vortaro_additions_20251012_0225.tsv
gimnastikilo,gimnastikilo,drafted,draft_vortaro_additions_20251012_0225.tsv
gimnotedoj,gimnotedoj,drafted,draft_vortaro_additions_20251012_0225.tsv
ginsengo,ginsengo,drafted,draft_vortaro_additions_20251012_0225.tsv
gipo,gipo,drafted,draft_vortaro_additions_20251012_0225.tsv
gipsofilo,gipsofilo,drafted,draft_vortaro_additions_20251012_0225.tsv
gipuro,gipuro,drafted,draft_vortaro_additions_20251012_0225.tsv
gireca,gireca,drafted,draft_vortaro_additions_20251012_0225.tsv
giromitrino,giromitrino,drafted,draft_vortaro_additions_20251012_0225.tsv
gisisto,gisisto,drafted,draft_vortaro_additions_20251012_0225.tsv
glaciologio,glaciologio,drafted,draft_vortaro_additions_20251012_0225.tsv
glagolico,glagolico,drafted,draft_vortaro_additions_20251012_0225.tsv
glatiso,glatiso,drafted,draft_vortaro_additions_20251012_0225.tsv
glaŭka,glaŭka,drafted,draft_vortaro_additions_20251012_0225.tsv
glebo,glebo,drafted,draft_vortaro_additions_20251012_0225.tsv
glediĉio,glediĉio,drafted,draft_vortaro_additions_20251012_0225.tsv
glicero,glicero,drafted,draft_vortaro_additions_20251012_0225.tsv
gliko,gliko,drafted,draft_vortaro_additions_20251012_0225.tsv
glikogeno,glikogeno,drafted,draft_vortaro_additions_20251012_0225.tsv
glikogenogenezo,glikogenogenezo,drafted,draft_vortaro_additions_20251012_0225.tsv
glikogenolizo,glikogenolizo,drafted,draft_vortaro_additions_20251012_0225.tsv
glikokaliko,glikokaliko,drafted,draft_vortaro_additions_20251012_0225.tsv
glio,glio,drafted,draft_vortaro_additions_20251012_0225.tsv
glioksalo,glioksalo,drafted,draft_vortaro_additions_20251012_0225.tsv
gliredoj,gliredoj,drafted,draft_vortaro_additions_20251012_0225.tsv
gliŝi,gliŝi,drafted,draft_vortaro_additions_20251012_0225.tsv
globino,globino,drafted,draft_vortaro_additions_20251012_0225.tsv
globoskopo,globoskopo,drafted,draft_vortaro_additions_20251012_0225.tsv
globulestiĝo,globulestiĝo,drafted,draft_vortaro_additions_20251012_0225.tsv
glomerulo,glomerulo,drafted,draft_vortaro_additions_20251012_0225.tsv
gloriozo,gloriozo,drafted,draft_vortaro_additions_20251012_0225.tsv
glosektomio,glosektomio,drafted,draft_vortaro_additions_20251012_0225.tsv
glosolalio,glosolalio,drafted,draft_vortaro_additions_20251012_0225.tsv
glucido,glucido,drafted,draft_vortaro_additions_20251012_0225.tsv
glucinio,glucinio,drafted,draft_vortaro_additions_20251012_0225.tsv
gluizi,gluizi,drafted,draft_vortaro_additions_20251012_0225.tsv
glukagono,glukagono,drafted,draft_vortaro_additions_20251012_0225.tsv
gluko,gluko,drafted,draft_vortaro_additions_20251012_0225.tsv
glukolizo,glukolizo,drafted,draft_vortaro_additions_20251012_0225.tsv
glukozemio,glukozemio,drafted,draft_vortaro_additions_20251012_0225.tsv
glukozido,glukozido,drafted,draft_vortaro_additions_20251012_0225.tsv
glukozurio,glukozurio,drafted,draft_vortaro_additions_20251012_0225.tsv
glukurio,glukurio,drafted,draft_vortaro_additions_20251012_0225.tsv
glumelo,glumelo,drafted,draft_vortaro_additions_20251012_0225.tsv
gluono,gluono,drafted,draft_vortaro_additions_20251012_0225.tsv
glutaro,glutaro,drafted,draft_vortaro_additions_20251012_0225.tsv
glutationo,glutationo,drafted,draft_vortaro_additions_20251012_0225.tsv
glutenino,glutenino,drafted,draft_vortaro_additions_20251012_0225.tsv
gnafalio,gnafalio,drafted,draft_vortaro_additions_20251012_0225.tsv
gnetopsidoj,gnetopsidoj,drafted,draft_vortaro_additions_20251012_0225.tsv
gnidio,gnidio,drafted,draft_vortaro_additions_20251012_0225.tsv
gnozo,gnozo,drafted,draft_vortaro_additions_20251012_0225.tsv
gobelino,gobelino,drafted,draft_vortaro_additions_20251012_0225.tsv
gobiusedoj,gobiusedoj,drafted,draft_vortaro_additions_20251012_0225.tsv
gobiusoidoj,gobiusoidoj,drafted,draft_vortaro_additions_20251012_0225.tsv
goetito,goetito,drafted,draft_vortaro_additions_20251012_0225.tsv
gofero,gofero,drafted,draft_vortaro_additions_20251012_0225.tsv
gofri,gofri,drafted,draft_vortaro_additions_20251012_0225.tsv
gofrilo,gofrilo,drafted,draft_vortaro_additions_20251012_0225.tsv
gojo,gojo,drafted,draft_vortaro_additions_20251012_0225.tsv
goliardi,goliardi,drafted,draft_vortaro_additions_20251012_0225.tsv
goliardo,goliardo,drafted,draft_vortaro_additions_20251012_0225.tsv
golĝaparato,golĝaparato,drafted,draft_vortaro_additions_20251012_0225.tsv
golĝokorpo,golĝokorpo,drafted,draft_vortaro_additions_20251012_0225.tsv
gombo,gombo,added,imported:reviewed_import_mixed_13f.tsv
gomenolarbo,gomenolarbo,drafted,draft_vortaro_additions_20251012_0225.tsv
gomenolo,gomenolo,drafted,draft_vortaro_additions_20251012_0225.tsv
gongorismo,gongorismo,drafted,draft_vortaro_additions_20251012_0225.tsv
gonidio,gonidio,drafted,draft_vortaro_additions_20251012_0225.tsv
goniometra,goniometra,drafted,draft_vortaro_additions_20251012_0225.tsv
goniometri,goniometri,added,imported:reviewed_import_mixed_13f.tsv
goniometrio,goniometrio,drafted,draft_vortaro_additions_20251012_0225.tsv
goniometro,goniometro,drafted,draft_vortaro_additions_20251012_0225.tsv
gonokokemio,gonokokemio,drafted,draft_vortaro_additions_20251012_0225.tsv
gonokokozo,gonokokozo,drafted,draft_vortaro_additions_20251012_0225.tsv
gordiuloj,gordiuloj,drafted,draft_vortaro_additions_20251012_0225.tsv
gosipio,gosipio,drafted,draft_vortaro_additions_20251012_0225.tsv
gospelo,gospelo,drafted,draft_vortaro_additions_20251012_0319.tsv
grabeno,grabeno,drafted,draft_vortaro_additions_20251012_0319.tsv
gradacio,gradacio,drafted,draft_vortaro_additions_20251012_0319.tsv
gradualo,gradualo,drafted,draft_vortaro_additions_20251012_0319.tsv
grajnovora,grajnovora,drafted,draft_vortaro_additions_20251012_0319.tsv
gramino,gramino,drafted,draft_vortaro_additions_20251012_0319.tsv
grand,grand,drafted,draft_vortaro_additions_20251012_0319.tsv
granitoido,granitoido,drafted,draft_vortaro_additions_20251012_0319.tsv
granulocito,granulocito,drafted,draft_vortaro_additions_20251012_0319.tsv
granulomo,granulomo,drafted,draft_vortaro_additions_20251012_0319.tsv
granulomozo,granulomozo,drafted,draft_vortaro_additions_20251012_0319.tsv
graptolitoj,graptolitoj,drafted,draft_vortaro_additions_20251012_0319.tsv
grasumi,grasumi,drafted,draft_vortaro_additions_20251012_0319.tsv
grasumo,grasumo,drafted,draft_vortaro_additions_20251012_0319.tsv
gratiolo,gratiolo,drafted,draft_vortaro_additions_20251012_0319.tsv
gravetio,gravetio,drafted,draft_vortaro_additions_20251012_0319.tsv
gravimetrio,gravimetrio,drafted,draft_vortaro_additions_20251012_0319.tsv
graviolarbo,graviolarbo,drafted,draft_vortaro_additions_20251012_0319.tsv
graviolbero,graviolbero,drafted,draft_vortaro_additions_20251012_0319.tsv
graviolo,graviolo,drafted,draft_vortaro_additions_20251012_0319.tsv
graviolujo,graviolujo,drafted,draft_vortaro_additions_20251012_0319.tsv
gravitometrio,gravitometrio,drafted,draft_vortaro_additions_20251012_0319.tsv
gravitono,gravitono,drafted,draft_vortaro_additions_20251012_0319.tsv
graŭli,graŭli,drafted,draft_vortaro_additions_20251012_0319.tsv
graŭvako,graŭvako,drafted,draft_vortaro_additions_20251012_0319.tsv
gregarinoj,gregarinoj,drafted,draft_vortaro_additions_20251012_0319.tsv
grejhundo,grejhundo,drafted,draft_vortaro_additions_20251012_0319.tsv
greĝo,greĝo,drafted,draft_vortaro_additions_20251012_0319.tsv
griledoj,griledoj,drafted,draft_vortaro_additions_20251012_0319.tsv
grindelio,grindelio,drafted,draft_vortaro_additions_20251012_0319.tsv
grioto,grioto,drafted,draft_vortaro_additions_20251012_0319.tsv
grivo,grivo,drafted,draft_vortaro_additions_20251012_0319.tsv
grizuo,grizuo,drafted,draft_vortaro_additions_20251012_0319.tsv
grondi,grondi,drafted,draft_vortaro_additions_20251012_0319.tsv
gropo,gropo,drafted,draft_vortaro_additions_20251012_0319.tsv
grosulariacoj,grosulariacoj,drafted,draft_vortaro_additions_20251012_0319.tsv
grosulario,grosulario,drafted,draft_vortaro_additions_20251012_0319.tsv
groĝo,groĝo,drafted,draft_vortaro_additions_20251012_0319.tsv
grumela,grumela,drafted,draft_vortaro_additions_20251012_0319.tsv
grumelo,grumelo,drafted,draft_vortaro_additions_20251012_0319.tsv
grumiŝambero,grumiŝambero,drafted,draft_vortaro_additions_20251012_0319.tsv
grumiŝamo,grumiŝamo,drafted,draft_vortaro_additions_20251012_0319.tsv
grumiŝamujo,grumiŝamujo,drafted,draft_vortaro_additions_20251012_0319.tsv
grundologio,grundologio,drafted,draft_vortaro_additions_20251012_0319.tsv
guanino,guanino,drafted,draft_vortaro_additions_20251012_0319.tsv
guglego,guglego,drafted,draft_vortaro_additions_20251012_0319.tsv
guglo,guglo,drafted,draft_vortaro_additions_20251012_0319.tsv
gujdako,gujdako,drafted,draft_vortaro_additions_20251012_0319.tsv
gumozo,gumozo,drafted,draft_vortaro_additions_20251012_0319.tsv
guno,guno,drafted,draft_vortaro_additions_20251012_0319.tsv
guruo,guruo,drafted,draft_vortaro_additions_20251012_0319.tsv
gustosena,gustosena,drafted,draft_vortaro_additions_20251012_0319.tsv
gutao,gutao,drafted,draft_vortaro_additions_20251012_0319.tsv
gutiferoj,gutiferoj,drafted,draft_vortaro_additions_20251012_0319.tsv
gutujo,gutujo,drafted,draft_vortaro_additions_20251012_0319.tsv
guĝarato,guĝarato,drafted,draft_vortaro_additions_20251012_0319.tsv
guĝi,guĝi,drafted,draft_vortaro_additions_20251012_0319.tsv
guĝo,guĝo,drafted,draft_vortaro_additions_20251012_0319.tsv
gvanako,gvanako,drafted,draft_vortaro_additions_20251012_0319.tsv
gvarano,gvarano,drafted,draft_vortaro_additions_20251012_0319.tsv
gvemulo,gvemulo,drafted,draft_vortaro_additions_20251012_0319.tsv
gverilo,gverilo,drafted,draft_vortaro_additions_20251012_0319.tsv
hadeano,hadeano,drafted,draft_vortaro_additions_20251012_0319.tsv
hagiso,hagiso,drafted,draft_vortaro_additions_20251012_0319.tsv
hajduko,hajduko,drafted,draft_vortaro_additions_20251012_0319.tsv
halanĝo,halanĝo,drafted,draft_vortaro_additions_20251012_0319.tsv
haliaeto,haliaeto,drafted,draft_vortaro_additions_20251012_0319.tsv
halito,halito,drafted,draft_vortaro_additions_20251012_0319.tsv
halofito,halofito,drafted,draft_vortaro_additions_20251012_0319.tsv
haloido,haloido,drafted,draft_vortaro_additions_20251012_0319.tsv
halucinozo,halucinozo,drafted,draft_vortaro_additions_20251012_0319.tsv
halvao,halvao,drafted,draft_vortaro_additions_20251012_0319.tsv
hamadriado,hamadriado,drafted,draft_vortaro_additions_20251012_0319.tsv
hamiltoniano,hamiltoniano,drafted,draft_vortaro_additions_20251012_0319.tsv
hanapo,hanapo,drafted,draft_vortaro_additions_20251012_0319.tsv
handspeko,handspeko,drafted,draft_vortaro_additions_20251012_0319.tsv
hansa,hansa,drafted,draft_vortaro_additions_20251012_0319.tsv
hansano,hansano,drafted,draft_vortaro_additions_20251012_0319.tsv
haomo,haomo,drafted,draft_vortaro_additions_20251012_0319.tsv
haoro,haoro,drafted,draft_vortaro_additions_20251012_0319.tsv
hapakso,hapakso,drafted,draft_vortaro_additions_20251012_0319.tsv
hapaledoj,hapaledoj,drafted,draft_vortaro_additions_20251012_0319.tsv
haplografio,haplografio,drafted,draft_vortaro_additions_20251012_0319.tsv
haploida,haploida,drafted,draft_vortaro_additions_20251012_0319.tsv
hariso,hariso,drafted,draft_vortaro_additions_20251012_0319.tsv
harmonizi,harmonizi,drafted,draft_vortaro_additions_20251012_0319.tsv
harneso,harneso,drafted,draft_vortaro_additions_20251012_0319.tsv
harpagofito,harpagofito,drafted,draft_vortaro_additions_20251012_0319.tsv
haruspekso,haruspekso,drafted,draft_vortaro_additions_20251012_0319.tsv
haspelaĵo,haspelaĵo,drafted,draft_vortaro_additions_20251012_0319.tsv
haspeli,haspeli,drafted,draft_vortaro_additions_20251012_0319.tsv
haspelo,haspelo,drafted,draft_vortaro_additions_20251012_0319.tsv
hati,hati,drafted,draft_vortaro_additions_20251012_0319.tsv
hav,hav,drafted,draft_vortaro_additions_20251012_0319.tsv
haĉeko,haĉeko,drafted,draft_vortaro_additions_20251012_0319.tsv
haŝio,haŝio,drafted,draft_vortaro_additions_20251012_0319.tsv
haŭsero,haŭsero,drafted,draft_vortaro_additions_20251012_0319.tsv
haŭsiero,haŭsiero,drafted,draft_vortaro_additions_20251012_0319.tsv
haŭso,haŭso,drafted,draft_vortaro_additions_20251012_0319.tsv
haŭstorio,haŭstorio,drafted,draft_vortaro_additions_20251012_0319.tsv
hebefrenio,hebefrenio,drafted,draft_vortaro_additions_20251012_0319.tsv
hebeta,hebeta,drafted,draft_vortaro_additions_20251012_0319.tsv
hebeteco,hebeteco,drafted,draft_vortaro_additions_20251012_0319.tsv
hebreisto,hebreisto,drafted,draft_vortaro_additions_20251012_0319.tsv
hedizaro,hedizaro,drafted,draft_vortaro_additions_20251012_0319.tsv
hedonismo,hedonismo,drafted,draft_vortaro_additions_20251012_0319.tsv
hedonisto,hedonisto,drafted,draft_vortaro_additions_20251012_0319.tsv
heks,heks,added,imported:reviewed_import_mixed_13k.tsv
heksa,heksa,drafted,draft_vortaro_additions_20251012_0319.tsv
heksano,heksano,drafted,draft_vortaro_additions_20251012_0319.tsv
hektika,hektika,drafted,draft_vortaro_additions_20251012_0319.tsv
helicoido,helicoido,drafted,draft_vortaro_additions_20251012_0319.tsv
