表示語	解析語
Eŭridico	Eŭridico
Eŭripido	Eŭripido
Eŭterpo	Eŭterpo
Fabio	Fabio
Fabricio	Fabricio
Farnezo	Farnezo
Faroso	Faroso
Feba	Feba
Febo	Febo
Fedro	Fedro
Feroa	Feroa
Feroio	Feroio
Fidio	Fidio
Filemono	Filemono
Filipio	Filipio
Filipo	Filipo
Filokteto	Filokteto
Filomelo	Filomelo
Filono	Filono
Firmiano	Firmiano
Flaminio	Flaminio
Flavio	Flavio
Flegetono	Flegetono
Florealo	Florealo
Floriano	Floriano
Fortunato	Fortunato
Franc-Jozefa	Franc-Jozefa
Franclingvio	Franclingvio
Freŝeo	Freŝeo
FRG	FRG
Frigio	Frigio
Frimero	Frimero
Frino	Frino
Frisujo	Frisujo
Fruktidoro	Fruktidoro
Ftio	Ftio
Galateo	Galateo
Galegujo	Galegujo
Galileano	Galileano
Gambrino	Gambrino
Gargantua	Gargantua
Gaŭtamao	Gaŭtamao
GDR	GDR
Gebro	Gebro
Gelfo	Gelfo
Gerardo	Gerardo
Geriono	Geriono
Germanlingvio	Germanlingvio
Geronto	Geronto
Gervazo	Gervazo
Geŭzo	Geŭzo
Gibelino	Gibelino
Gideono	Gideono
Gigeso	Gigeso
Gileado	Gileado
Godfredo	Godfredo
Golgoti	Golgoti
Golĝo	Golĝo
Gongoro	Gongoro
Gontrano	Gontrano
Gonzago	Gonzago
Gorgio	Gorgio
Grala	Grala
Gralo	Gralo
Graŭbindo	Graŭbindo
Gregoria	Gregoria
Gustavino	Gustavino
Gustavo	Gustavo
Guĝaratio	Guĝaratio
Gvebro	Gvebro
Hadriana	Hadriana
Hadriano	Hadriano
Hagado	Hagado
Hagaro	Hagaro
Halepo	Halepo
Hamano	Hamano
Hamilkaro	Hamilkaro
Hanovrano	Hanovrano
Hanovrio	Hanovrio
Haroldo	Haroldo
Harun-al-Raŝido	Harun-al-Raŝido
Hasdrubalo	Hasdrubalo
Hebo	Hebo
Hedvigo	Hedvigo
Hegelano	Hegelano
Hekateo	Hekateo
Hekato	Hekato
Hekubo	Hekubo
Helenistiko	Helenistiko
Helenjo	Helenjo
Heliodoro	Heliodoro
Henjo	Henjo
Heraklidoj	Heraklidoj
Herberto	Herberto
Herkula	Herkula
Herkulano	Herkulano
Herkuleso	Herkuleso
Hermano	Hermano
Hermesbusto	Hermesbusto
Hermiono	Hermiono
Hermito	Hermito
Hermo	Hermo
Hermono	Hermono
Hero	Hero
Herodano	Herodano
Heslando	Heslando
Hesperidinoj	Hesperidinoj
Hesujo	Hesujo
Hevisido	Hevisido
Hiadoj	Hiadoj
Hilberto	Hilberto
Hiperboreoj	Hiperboreoj
Hipokrata	Hipokrata
Hipolito	Hipolito
Hipomeno	Hipomeno
Hipono	Hipono
Hirkano	Hirkano
Hispaniolo	Hispaniolo
Hitlera	Hitlera
Hitlerano	Hitlerano
Hohencolernoj	Hohencolernoj
Hohenstaŭfoj	Hohenstaŭfoj
Holoferno	Holoferno
Holstinio	Holstinio
Honorio	Honorio
Horna	Horna
Hoĝkino	Hoĝkino
Huberto	Huberto
Huso	Huso
Iberujo	Iberujo
Ibliso	Ibliso
Ibseno	Ibseno
Idao	Idao
Idomeneo	Idomeneo
Iduo	Iduo
Ifigenio	Ifigenio
Ignaco	Ignaco
Ijobo	Ijobo
