Words resolved by literumilo (current) but invalid in literumilo_old:
---------------------------------------------------------------------
amaskunveno	expected=amas.kun.ven.o	old_output=amaskunveno
amateraso	expected=amateras.o	old_output=amateraso
ameboida	expected=ameboid.a	old_output=ameboida
amebuloj	expected=ameb.ul.oj	old_output=amebuloj
amelazo	expected=amelaz.o	old_output=amelazo
amendamento	expected=amendament.o	old_output=amendamento
ameo	expected=ame.o	old_output=ameo
amfibraĥo	expected=amfibraĥ.o	old_output=amfibraĥo
amiantio	expected=amianti.o	old_output=amiantio
amitabo	expected=amitab.o	old_output=amitabo
amono	expected=amon.o	old_output=amono
amplifi	expected=amplif.i	old_output=amplifi
amplifikatoro	expected=amplifikator.o	old_output=amplifikatoro
anafilaksio	expected=anafilaksi.o	old_output=anafilaksio
anakreono	expected=anakreon.o	old_output=anakreono
anaksagoro	expected=anaksagor.o	old_output=anaksagoro
anapurno	expected=anapurn.o	old_output=anapurno
anastazio	expected=anastazi.o	old_output=anastazio
anatolio	expected=anatoli.o	old_output=anatolio
anatolo	expected=anatol.o	old_output=anatolo
anĉinstrumento	expected=anĉ.instrument.o	old_output=anĉinstrumento
andrapradeŝo	expected=andrapradeŝ.o	old_output=andrapradeŝo
andreo	expected=andre.o	old_output=andreo
andromedo	expected=andromed.o	old_output=andromedo
anglalingvano	expected=angl.a.lingv.an.o	old_output=anglalingvano
angstromo	expected=angstrom.o	old_output=angstromo
anguro	expected=angur.o	old_output=anguro
anhejo	expected=anhej.o	old_output=anhejo
anhujo	expected=anhuj.o	old_output=anhujo
anĵuo	expected=anĵu.o	old_output=anĵuo
ankuzo	expected=ankuz.o	old_output=ankuzo
anneto	expected=ann.et.o	old_output=anneto
anno	expected=ann.o	old_output=anno
anno	expected=ann.o	old_output=anno
anormala	expected=anormal.a	old_output=anormala
anŝano	expected=anŝan.o	old_output=anŝano
antareso	expected=antares.o	old_output=antareso
antaŭdestinismo	expected=antaŭ.destin.ism.o	old_output=antaŭdestinismo
antaŭeco	expected=antaŭ.ec.o	old_output=antaŭeco
antaŭenema	expected=antaŭ.e.n.em.a	old_output=antaŭenema
antaŭmalhelpi	expected=antaŭ.mal.help.i	old_output=antaŭmalhelpi
antaŭnelonge	expected=antaŭ.ne.long.e	old_output=antaŭnelonge
antaŭpensita	expected=antaŭ.pens.it.a	old_output=antaŭpensita
antemido	expected=antemid.o	old_output=antemido
antigeno	expected=antigen.o	old_output=antigeno
antigono	expected=antigon.o	old_output=antigono
antonio	expected=antoni.o	old_output=antonio
anubo	expected=anub.o	old_output=anubo
aosto	expected=aost.o	old_output=aosto
apartismo	expected=apart.ism.o	old_output=apartismo
apeninoj	expected=apenin.oj	old_output=apeninoj
apiacoj	expected=apiac.oj	old_output=apiacoj
aplanatismo	expected=aplanat.ism.o	old_output=aplanatismo
apneo	expected=apne.o	old_output=apneo
apodo	expected=apod.o	old_output=apodo
apolono	expected=apolon.o	old_output=apolono
apretado	expected=apret.ad.o	old_output=apretado
apreti	expected=apret.i	old_output=apreti
apulio	expected=apuli.o	old_output=apulio
apunto	expected=apunt.o	old_output=apunto
arafuro	expected=arafur.o	old_output=arafuro
aragono	expected=aragon.o	old_output=aragono
araknoido	expected=araknoid.o	old_output=araknoido
aralo	expected=aral.o	old_output=aralo
arameo	expected=arame.o	old_output=arameo
araso	expected=aras.o	old_output=araso
arbitracianto	expected=arbitraci.ant.o	old_output=arbitracianto
arbustotufo	expected=arbust.o.tuf.o	old_output=arbustotufo
ardenoj	expected=arden.oj	old_output=ardenoj
ardezlato	expected=ardez.lat.o	old_output=ardezlato
ardizio	expected=ardizi.o	old_output=ardizio
areso	expected=ares.o	old_output=areso
argo	expected=arg.o	old_output=argo
arĝirolo	expected=arĝirol.o	old_output=arĝirolo
arĥaika	expected=arĥaik.a	old_output=arĥaika
arĥaismo	expected=arĥaism.o	old_output=arĥaismo
arĥeologio	expected=arĥeologi.o	old_output=arĥeologio
arĥeologo	expected=arĥeolog.o	old_output=arĥeologo
arĥipelago	expected=arĥipelag.o	old_output=arĥipelago
arĥitekto	expected=arĥitekt.o	old_output=arĥitekto
arĥitekturo	expected=arĥitektur.o	old_output=arĥitekturo
ariadno	expected=ariadn.o	old_output=ariadno
arianismo	expected=ari.an.ism.o	old_output=arianismo
ariano	expected=ari.an.o	old_output=ariano
arieso	expected=aries.o	old_output=arieso
arimano	expected=ariman.o	old_output=arimano
aristofano	expected=aristofan.o	old_output=aristofano
aristotelismo	expected=aristotel.ism.o	old_output=aristotelismo
aristotelo	expected=aristotel.o	old_output=aristotelo
arjanismo	expected=arj.an.ism.o	old_output=arjanismo
arkansaso	expected=arkansas.o	old_output=arkansaso
arkiduko	expected=arkiduk.o	old_output=arkiduko
arkimedo	expected=arkimed.o	old_output=arkimedo
arkivejo	expected=arkiv.ej.o	old_output=arkivejo
armoriko	expected=armorik.o	old_output=armoriko
arno	expected=arn.o	old_output=arno
arope	expected=ar.op.e	old_output=arope
artemiso	expected=artemis.o	old_output=artemiso
arteriosklerozo	expected=arteri.o.skleroz.o	old_output=arteriosklerozo
asamo	expected=asam.o	old_output=asamo
asemblilo	expected=asembl.il.o	old_output=asemblilo
askio	expected=aski.o	old_output=askio
asmero	expected=asmer.o	old_output=asmero
aso	expected=as.o	old_output=aso
astano	expected=astan.o	old_output=astano
asteracoj	expected=asterac.oj	old_output=asteracoj
astigmatismo	expected=astigmatism.o	old_output=astigmatismo
astraĥano	expected=astraĥan.o	old_output=astraĥano
astrakano	expected=astrakan.o	old_output=astrakano
asturio	expected=asturi.o	old_output=asturio
asvano	expected=asvan.o	old_output=asvano
aŝĥabado	expected=aŝĥabad.o	old_output=aŝĥabado
aŝkenazo	expected=aŝkenaz.o	old_output=aŝkenazo
aŝoko	expected=aŝok.o	old_output=aŝoko
aŝuro	expected=aŝur.o	old_output=aŝuro
atanazio	expected=atanazi.o	old_output=atanazio
atenui	expected=atenu.i	old_output=atenui
atenuiĝo	expected=atenu.iĝ.o	old_output=atenuiĝo
atenuo	expected=atenu.o	old_output=atenuo
atika	expected=atik.a	old_output=atika
atikismo	expected=atik.ism.o	old_output=atikismo
atiko	expected=atik.o	old_output=atiko
atilo	expected=atil.o	old_output=atilo
atlantido	expected=atlantid.o	old_output=atlantido
atommalsano	expected=atom.mal.san.o	old_output=atommalsano
atompilo	expected=atom.pil.o	old_output=atompilo
atrepsio	expected=atrepsi.o	old_output=atrepsio
aŭgsburgo	expected=aŭgsburg.o	old_output=aŭgsburgo
aŭgustenismo	expected=aŭgusten.ism.o	old_output=aŭgustenismo
aŭgusteno	expected=aŭgusten.o	old_output=aŭgusteno
aŭklando	expected=aŭkland.o	old_output=aŭklando
aŭlido	expected=aŭlid.o	old_output=aŭlido
aŭstralazio	expected=aŭstralazi.o	old_output=aŭstralazio
aŭstronezio	expected=aŭstronezi.o	old_output=aŭstronezio
aŭŝvico	expected=aŭŝvic.o	old_output=aŭŝvico
aŭtomacio	expected=aŭtomaci.o	old_output=aŭtomacio
aŭvernjo	expected=aŭvernj.o	old_output=aŭvernjo
avalokiteŝvaro	expected=avalokiteŝvar.o	old_output=avalokiteŝvaro
avangardeco	expected=avangard.ec.o	old_output=avangardeco
avĉjo	expected=av.ĉj.o	old_output=avĉjo
avenkaĉo	expected=aven.kaĉ.o	old_output=avenkaĉo
averso	expected=avers.o	old_output=averso
avesto	expected=avest.o	old_output=avesto
aviĉo	expected=aviĉ.o	old_output=aviĉo
avinjono	expected=avinjon.o	old_output=avinjono
aviso	expected=avis.o	old_output=aviso
avnjo	expected=av.nj.o	old_output=avnjo
avogadro	expected=avogadr.o	old_output=avogadro
azoroj	expected=azor.oj	old_output=azoroj
azovo	expected=azov.o	old_output=azovo
aztekoj	expected=aztek.oj	old_output=aztekoj
azukio	expected=azuki.o	old_output=azukio
baĉo	expected=baĉ.o	old_output=baĉo
badenio	expected=baden.i.o	old_output=badenio
badeno	expected=baden.o	old_output=badeno
badmintono	expected=badminton.o	old_output=badmintono
bagaĝo	expected=bagaĝ.o	old_output=bagaĝo
bagavadgito	expected=bagavadgit.o	old_output=bagavadgito
bahio	expected=bahi.o	old_output=bahio
bahto	expected=baht.o	old_output=bahto
baĥo	expected=baĥ.o	old_output=baĥo
bajkalo	expected=bajkal.o	old_output=bajkalo
bajramo	expected=bajram.o	old_output=bajramo
bajrono	expected=bajron.o	old_output=bajrono
bakĥo	expected=bakĥ.o	old_output=bakĥo
bakteriologio	expected=bakteriologi.o	old_output=bakteriologio
bakujo	expected=bak.uj.o	old_output=bakujo
bakuo	expected=baku.o	old_output=bakuo
balduro	expected=baldur.o	old_output=balduro
balĥo	expected=balĥ.o	old_output=balĥo
balio	expected=bali.o	old_output=balio
balkanio	expected=balkan.i.o	old_output=balkanio
balkaŝo	expected=balkaŝ.o	old_output=balkaŝo
balotujo	expected=balot.uj.o	old_output=balotujo
baltimoro	expected=baltimor.o	old_output=baltimoro
bambuido	expected=bambu.id.o	old_output=bambuido
bambukano	expected=bambu.kan.o	old_output=bambukano
